Bolls failed to open,కాయ పగలటం లేదు
Bolls turns into black,కాయలు నలుపు రంగులో మారుతున్నాఈ
Bored bolls,కాయలపై  రంద్రాలు ఉన్నయి
Delay in fruiting,కాయపగలటం ఆలస్యం అవుతున్నాయి
Delay in maturity of the bolls. ,కాయ పకాానికి రావటం ఆలస్యమవుతుంది
Excreta in the bolls,కాయపై  పురుగు విస్ర్జిత మలిన్నలున్నాయి
Fed bolls but holes not visible.,కాయాపై  ఎటువంటి రంద్రా  లు లేకండా నష్ట లక్షణాలున్నాయి
Premature opening of damaged bolls,దెబ్బతినా కాయలు పూర్జి గా ఊరకమందే పగులుతున్నాయి
Premature ripening of bolls,కాయలు పూర్జి గా ఊరకమందే పగులుతున్నాయి
Premature shedding of bolls,కాయలు పూర్జి గా ఊరకమందే రాలిపోతున్నాయి
Retarded growth of bolls,కాయలు  ఉరటం లేదు
Sooty mould development on bolls,కాయపై  నలలటి మసి గమనించాను
Spots on bolls,కాయలపై  మచ్చలున్నాయి
Bored squares/bored flower buds,పూతమీద రంద్రాలున్నాయి
Delay in blooming,పూతక రావటం ఆలస్యమవుతుంది
Fed buds,పురుగుతినె పూలను గమనించాను
Premature shedding of flowers,పూమొగ్గలు రాలటం గమనించాను
“rosette” flowers.,పూలు స్ర్జగా విచ్చచకోవడం లేదు
Shedding of flowers,పూత రాలడం గమనించాను
Withering of flowers,పూత మాడటం గమనిచాను
Insect on lower side of the leaf,ఆకు కింది భాగంలో పేను/నలిల  లాటి పురుగులునన్నాయి
Presence of insects in the bolls,కయలోపల పురుగులునన్నయా
Blackening of veins in leaves,Blackening of veins in leaves
Brittle leaves,ఆకులు పళుసుగా ఉన్నాయి
Cotyledons start bending and collapse,మొలకెతిి న పతిి పై న గంజ బ్దద లు వంగటం లేదా రాలటం గమనించాను
Curling of leaves,ఆకు మడుత గమనించాను
Discolorization of leaves,ఆకు రంగు మరుతుంది
Dried leaves,మొక్క ఆకలు ఎండుతున్నాయి
Fed leaves/holes in leaves,ఆకలపై రంద్రాలు/పురుగులు తిన్న ఆకలు గమనించాను
Necrosis of leaves,ఆకులపై చిన్న చిన్న కుల్లిన మచ్చలు గమనించాను
Powdery growth on leaves,ఆకులపై బూడిద లాoటి పౌడరు గమనించాను
Reduction in leaf size,ఆకులు చిన్నవిగా ఉన్నాయి
Rolling of leaves,ఆకలు చ్చటిట నటుల   ఉన్నయీ
Shedding of leaves,ఆకలు రాలుతున్నాయి
Sooty mould development on leaves,ఆకులపై  నల్లటి మసి గమనించాను
Spots(lesions) on leaves,ఆకులపై  ఉబ్బబన మచ్చలునాయి
Spots on leaves,ఆకలపై  మచ్చలునాయీ
The leaf petioles start bending and collapse,ఆక తొడిమెలు వంగపొయి రాలుతున్నాయీ
