Bolls damage,Bolls failed to open,
Bolls damage,Bolls turns into black,
Bolls damage,Bored bolls,
Bolls damage,Delay in fruiting,
Bolls damage,Delay in maturity of the bolls. ,
Bolls damage,Excreta in the bolls,
Bolls damage,Fed bolls but holes not visible.,
Bolls damage,Premature opening of damaged bolls,Premature opening of the bolls but no fungus
Bolls damage,Premature opening of damaged bolls,Premature opening of the boll leading to invasion of saprophytic fungus. 
Bolls damage,Premature ripening of bolls,
Bolls damage,Premature shedding of bolls,
Bolls damage,Retarded growth of bolls,
Bolls damage,Sooty mould development on bolls,
Bolls damage,Spots on bolls,Bright yellow/orange/brown bolls
Bolls damage,Spots on bolls,Dark black  irregular spots
Bolls damage,Spots on bolls,"Small water soaked, circular, reddish brown depressed spots appear on the bolls"
Bolls damage,Spots on bolls,Spherical or elliptical purple spots on bolls
Bolls damage,Spots on bolls,Yellow or white spots 
Flowers damage ,Bored squares/bored flower buds,"Flared squares [bolls are bored at the base of flower buds which are hollowed out, bracts of damaged flower buds spread out and curl down wards.]"
Flowers damage,Bored squares/bored flower buds,Flaring up of bracts during square and young boll formation stage
Flowers damage,Delay in blooming,
Flowers damage,Fed buds,
Flowers damage,Premature shedding of flowers,
Flowers damage,“rosette” flowers.,
Flowers damage,Shedding of flowers,
Flowers damage,Withering of flowers,
Insects damage,Insect on lower side of the leaf,"Adult is minute insect measuring about 0.5 mm in length having white or greyish wings, a yellowish body and red medially constricted eyes."
Insects damage,Insect on lower side of the leaf,"Adult is small, soft, yellowish, green or greenish brown in colour. It is found in colonies under surface of leaves and infested parts"
Insects damage,Insect on lower side of the leaf,"Insect is velvety, black with yellowish – green dorsal stripes and lateral white bands with incomplete ring – like dark band on anterior and posterior end of the body."
Insects damage,Insect on lower side of the leaf,On lower side of leaves colonies of larvae are found at young stages.
Insects damage,Insect on lower side of the leaf,On lower surface of leaves insects are found in colonies.
Insects damage,Presence of insects in the bolls,"Caterpillars are of varying colour, initially brown and later turn greenish with darker broken lines along the side of the body. "
Insects damage,Presence of insects in the bolls,Greyish brown bug with hyaline wings and roughly rectangular in shape
Insects damage,Presence of insects in the bolls,Pinkish larvae with dark brown head.
Insects damage,Presence of insects in the bolls,The caterpillars of  have a number of black and brown spots on the body
Insects damage,Presence of insects in the bolls,The larva inserts its head inside the boll and feeds by filling the bolls.
Insects damage,Presence of insects in the bolls,The larva inserts its head inside the boll and feeds by filling the boll with excreta
Leaves damage,Blackening of veins in leaves,
Leaves damage,Brittle leaves,
